Any,Id_aforament,Mes,Codi_tipus_dia,Desc_tipus_dia,Valor_IMD
2024,10001,1,1,dilluns,8665
2024,10001,1,2,laborables,8867
2024,10001,1,3,divendres,9127
2024,10001,1,4,dissabte,8063
2024,10001,1,5,diumenge,6234
2024,10001,2,1,dilluns,9176
2024,10001,2,2,laborables,9454
2024,10001,2,3,divendres,10016
2024,10001,2,4,dissabte,8240
2024,10001,2,5,diumenge,6574
2024,10001,3,1,dilluns,9343
2024,10001,3,2,laborables,9489
2024,10001,3,3,divendres,10125
2024,10001,3,4,dissabte,8123
2024,10001,3,5,diumenge,6375
2024,10001,4,1,dilluns,9935
2024,10001,4,2,laborables,9914
2024,10001,4,3,divendres,10312
2024,10001,4,4,dissabte,8840
2024,10001,4,5,diumenge,6766
2024,10001,5,1,dilluns,9761
2024,10001,5,2,laborables,10047
2024,10001,5,3,divendres,10388
2024,10001,5,4,dissabte,8208
2024,10001,5,5,diumenge,6868
2024,10001,6,1,dilluns,9772
2024,10001,6,2,laborables,9895
2024,10001,6,3,divendres,10253
2024,10001,6,4,dissabte,8556
2024,10001,6,5,diumenge,6802
2024,10001,7,1,dilluns,10177
2024,10001,7,2,laborables,10132
2024,10001,7,3,divendres,10186
2024,10001,7,4,dissabte,7839
2024,10001,7,5,diumenge,6745
2024,10001,8,1,dilluns,7972
2024,10001,8,2,laborables,8217
2024,10001,8,3,divendres,8520
2024,10001,8,4,dissabte,6811
2024,10001,8,5,diumenge,5712
2024,10001,9,1,dilluns,9703
2024,10001,9,2,laborables,10274
2024,10001,9,3,divendres,10264
2024,10001,9,4,dissabte,8352
2024,10001,9,5,diumenge,6565
2024,10001,10,1,dilluns,9843
2024,10001,10,2,laborables,9910
2024,10001,10,3,divendres,10481
2024,10001,10,4,dissabte,8953
2024,10001,10,5,diumenge,7319
2024,10001,11,1,dilluns,9611
2024,10001,11,2,laborables,9995
2024,10001,11,3,divendres,10757
2024,10001,11,4,dissabte,9085
2024,10001,11,5,diumenge,7060
2024,10001,12,1,dilluns,9540
2024,10001,12,2,laborables,10266
2024,10001,12,3,divendres,10375
2024,10001,12,4,dissabte,8510
2024,10001,12,5,diumenge,7026
2024,10002,1,1,dilluns,21136
2024,10002,1,2,laborables,20981
2024,10002,1,3,divendres,21114
2024,10002,1,4,dissabte,19288
2024,10002,1,5,diumenge,15813
2024,10002,2,1,dilluns,21490
2024,10002,2,2,laborables,22462
2024,10002,2,3,divendres,23145
2024,10002,2,4,dissabte,19916
2024,10002,2,5,diumenge,17785
2024,10002,3,1,dilluns,21517
2024,10002,3,2,laborables,21874
2024,10002,3,3,divendres,23473
2024,10002,3,4,dissabte,18771
2024,10002,3,5,diumenge,15560
2024,10002,4,1,dilluns,21769
2024,10002,4,2,laborables,22626
2024,10002,4,3,divendres,24082
2024,10002,4,4,dissabte,21090
2024,10002,4,5,diumenge,17557
2024,10002,5,1,dilluns,21448
2024,10002,5,2,laborables,22727
2024,10002,5,3,divendres,23736
