FGC,,,,,,,,,,,,,,
Demanda. Viatges,,,,,,,,,,,,,,
2023,,,,,,,,,,,,,,
Barcelona-Vallès,,,,,,,,,,,,,,
,gener,febrer,març,abril,maig,juny,juliol,agost,setembre,octubre,novembre,desembre,total,
PL. CATALUNYA,"982,044","998,213","1,162,096","989,948","1,125,910","988,437","902,462","574,935","995,850","1,146,194","1,163,128","1,008,301","12,037,518",
PROVENÇA,"642,066","661,676","761,604","630,894","724,879","637,356","548,365","325,280","597,653","704,850","701,657","527,111","7,463,391",
GRÀCIA,"273,407","283,929","326,023","263,434","316,830","278,642","242,088","149,039","266,227","315,375","318,771","254,653","3,288,418",
SANT GERVASI,"60,766","69,164","81,243","65,843","95,600","82,736","68,719","39,909","89,317","104,617","108,033","87,129","953,076",
MUNTANER,"198,533","201,029","232,225","183,444","227,476","195,558","163,928","69,291","180,586","214,361","217,014","171,789","2,255,234",
LA BONANOVA,"76,674","82,266","99,027","80,685","101,292","88,817","78,728","36,787","87,810","110,168","111,568","87,366","1,041,188",
LES TRES TORRES,"93,687","99,933","123,552","100,627","125,897","110,949","97,527","43,041","109,075","132,821","135,699","105,740","1,278,548",
SARRIÀ,"357,989","367,599","449,886","338,533","418,416","333,895","240,963","157,480","349,490","426,786","427,838","309,109","4,177,984",
REINA ELISENDA,"39,514","40,029","48,391","34,519","48,147","34,852","21,733","10,008","38,587","46,717","47,817","31,102","441,416",
PL. MOLINA,"49,126","50,804","61,091","49,638","50,731","45,821","39,928","22,651","41,454","51,353","49,690","36,460","548,747",
PÀDUA,"55,255","55,774","62,694","52,078","63,850","58,528","53,204","33,371","55,126","62,800","64,883","54,514","672,077",
EL PUTXET,"132,139","135,236","153,914","127,854","154,221","133,502","118,857","74,092","125,556","148,816","152,083","128,838","1,585,108",
AV. TIBIDABO,"118,299","128,890","147,888","128,893","153,286","129,847","116,873","85,155","132,850","154,005","157,620","129,606","1,583,212",
PEU DEL FUNICULAR,"38,075","42,233","49,528","37,433","48,727","34,468","20,569","27,381","39,081","47,854","48,057","32,654","466,060",
CARRETERA DE LES AIGÜES,"1,896","1,826","1,992","1,909","1,654","1,407","1,251",389,"1,396","1,674","1,442","1,006","17,842",
VALLVIDRERA SUPERIOR,"47,981","46,804","56,206","56,918","52,129","47,023","45,113","13,783","49,211","58,250","55,551","52,277","581,246",
BAIXADOR DE VALLVIDRERA,"32,929","34,292","43,213","39,024","42,812","38,121","29,420","19,729","36,509","43,191","40,275","31,664","431,179",
LES PLANES,"28,657","31,295","36,392","31,261","33,730","30,671","26,521","18,739","30,015","32,666","33,521","29,117","362,585",
LA FLORESTA,"44,440","44,374","53,451","45,964","52,561","48,892","44,122","27,639","48,061","54,371","53,011","44,134","561,020",
VALLDOREIX,"109,891","112,175","131,390","107,586","130,156","113,112","93,764","56,501","115,193","133,392","132,787","107,649","1,343,596",
SANT CUGAT,"352,706","362,037","416,773","343,791","398,430","350,176","290,381","184,146","367,806","410,149","417,329","335,485","4,229,209",
MIRA-SOL,"64,764","66,231","77,433","61,672","75,512","65,987","54,087","30,634","68,569","79,128","78,821","60,187","783,025",
HOSPITAL GENERAL,"75,157","85,124","97,938","72,609","86,587","67,704","57,260","35,289","85,776","99,671","102,148","70,403","935,666",
RUBÍ,"229,335","229,586","269,576","230,366","257,370","235,928","221,944","165,995","243,623","275,541","272,772","238,974","2,871,010",
LES FONTS,"36,738","36,584","44,030","37,176","43,537","39,812","36,604","23,360","39,454","45,498","45,953","37,994","466,740",
TERRASSA RAMBLA,"138,797","138,806","164,313","139,766","165,766","148,938","137,870","92,126","152,468","177,137","179,005","151,319","1,786,311",
VALLPARADÍS UNIVERSITAT,"96,096","100,312","129,633","100,040","124,464","105,059","87,972","55,161","115,306","137,633","139,588","107,149","1,298,413",
TERRASSA ESTACIÓ DEL NORD,"64,019","66,689","78,492","64,879","77,686","69,768","61,419","42,398","73,969","87,451","87,997","70,652","845,419",
TERRASSA NACIONS UNIDES,"46,523","51,049","60,980","49,286","60,100","53,447","47,424","28,678","55,602","66,456","67,234","54,334","641,113",
VOLPELLERES ,"104,908","108,233","129,626","104,211","128,844","111,395","90,450","54,075","115,534","134,482","135,271","102,197","1,319,226",
SANT JOAN,"73,185","81,658","97,444","71,585","92,601","75,517","52,488","30,629","77,040","97,543","96,776","55,833","902,299",
BELLATERRA,"46,055","51,452","60,628","45,913","56,401","48,967","33,776","16,109","53,337","61,568","60,388","43,466","578,060",
UNIVERSITAT AUTÒNOMA,"118,164","160,236","213,987","128,741","180,855","117,533","55,479","16,401","164,189","236,564","231,170","119,468","1,742,787",
SANT QUIRZE,"73,285","72,426","85,738","71,168","83,470","75,721","67,019","43,496","79,527","89,329","90,004","77,966","909,149",
SABADELL ESTACIÓ -  CAN FEU / GRÀCIA,"61,187","63,909","76,703","61,210","75,472","58,949","41,606","25,546","48,539","67,552","82,972","64,474","728,119",
SABADELL RAMBLA - SABADELL PL. MAJOR,"119,996","122,437","148,625","121,455","143,384","124,148","105,875","62,523","136,076","158,069","162,325","138,429","1,543,342",
LA CREU ALTA ,"60,402","61,325","72,299","60,298","73,114","63,480","57,412","37,580","70,941","76,622","77,156","66,516","777,145",
 SABADELL NORD,"67,698","72,149","86,730","68,547","82,586","71,066","60,918","42,955","79,127","93,908","94,166","75,381","895,231",
SABADELL PARC DEL NORD,"44,068","43,860","51,808","43,816","51,765","47,349","41,986","29,975","49,284","53,137","54,605","49,083","560,736",
Total  B-V,"5,256,451","5,461,644","6,444,562","5,243,014","6,226,248","5,363,578","4,556,105","2,802,276","5,465,214","6,437,699","6,496,125","5,149,529","64,902,445",
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Llobregat-Anoia,,,,,,,,,,,,,,
,gener,febrer,març,abril,maig,juny,juliol,agost,setembre,octubre,novembre,desembre,total,
