register_id,name,addresses_road_id,addresses_road_name,addresses_start_street_number,addresses_neighborhood_id,addresses_neighborhood_name,addresses_district_id,addresses_district_name,addresses_zip_code,addresses_town,addresses_main_address,secondary_filters_id,secondary_filters_name,secondary_filters_fullpath,secondary_filters_tree,secondary_filters_asia_id,geo_epgs_25831_x,geo_epgs_25831_y,geo_epgs_4326_lat,geo_epgs_4326_lon
?75990475891,Aparcament Roger de Flor,286504,C Roger de Flor,200,7,la Dreta de l'Eixample,2,Eixample,8013,BARCELONA,TRUE,63734068,Aparcaments,Planol BCN >> Transports i serveis relacionats >> Aparcaments >> Aparcaments,651,6.5103E+13,430834.294,4583383.563,41.39901714,2.172586419
?75990102953,Aparcament Condal,268003,C Provença,219,7,la Dreta de l'Eixample,2,Eixample,8008,BARCELONA,TRUE,63734068,Aparcaments,Planol BCN >> Transports i serveis relacionats >> Aparcaments >> Aparcaments,651,6.5103E+13,429678.2394,4582713.519,41.39288201,2.158836033
?75990102985,Aparcament Sabinus,268003,C Provença,228,8,l'Antiga Esquerra de l'Eixample,2,Eixample,8036,BARCELONA,TRUE,63734068,Aparcaments,Planol BCN >> Transports i serveis relacionats >> Aparcaments >> Aparcaments,651,6.5103E+13,429526.4409,4582534.04,41.39125223,2.157041345
?99400597334,"Punt d'Ancoratge de Bicicletes * C Sardenya, 400",76807,C Sardenya,400,33,el Baix Guinardó,7,Horta-Guinardó,8025,BARCELONA,TRUE,63736069,Punts d'ancoratge de bicicletes,Planol BCN >> Transports i serveis relacionats >> Bicis >> Punts d'ancoratge de bicicletes,651,6.5103E+13,430505.336,4584282.715,41.40708713,2.168548338
?99400597335,"Punt d'Ancoratge de Bicicletes * C Sardenya, 398",76807,C Sardenya,398,6,la Sagrada Família,2,Eixample,8025,BARCELONA,TRUE,63736069,Punts d'ancoratge de bicicletes,Planol BCN >> Transports i serveis relacionats >> Bicis >> Punts d'ancoratge de bicicletes,651,6.5103E+13,430529.8638,4584256.847,41.40685626,2.168844734
?99400597339,"Punt d'Ancoratge de Bicicletes * C Provença, 415",268003,C Provença,415,6,la Sagrada Família,2,Eixample,8025,BARCELONA,TRUE,63736069,Punts d'ancoratge de bicicletes,Planol BCN >> Transports i serveis relacionats >> Bicis >> Punts d'ancoratge de bicicletes,651,6.5103E+13,430882.7654,4583866.14,41.40336771,2.173111117
?99400597340,"Punt d'Ancoratge de Bicicletes * Pl Sagrada Família, 15",292201,Pl Sagrada Família,15,6,la Sagrada Família,2,Eixample,8025,BARCELONA,TRUE,63736069,Punts d'ancoratge de bicicletes,Planol BCN >> Transports i serveis relacionats >> Bicis >> Punts d'ancoratge de bicicletes,651,6.5103E+13,430895.3833,4583866.181,41.40336917,2.173262052
?99400597348,"Punt d'Ancoratge de Bicicletes * Rbla Badal, 165",30602,Rbla Badal,165,17,Sants - Badal,3,Sants-Montjuïc,8028,BARCELONA,TRUE,63736069,Punts d'ancoratge de bicicletes,Planol BCN >> Transports i serveis relacionats >> Bicis >> Punts d'ancoratge de bicicletes,651,6.5103E+13,427273.6002,4580772.724,41.37518821,2.130308671
?99400597351,"Punt d'Ancoratge de Bicicletes * Av Paral·lel, 173",198804,Av Paral·lel,173,11,el Poble-sec,3,Sants-Montjuïc,8004,BARCELONA,TRUE,63736069,Punts d'ancoratge de bicicletes,Planol BCN >> Transports i serveis relacionats >> Bicis >> Punts d'ancoratge de bicicletes,651,6.5103E+13,429387.9456,4580717.856,41.37488233,2.155596576
?99400597355,"Punt d'Ancoratge de Bicicletes * C Mestrança, 64",187706,C Mestrança,64,3,la Barceloneta,1,Ciutat Vella,8003,BARCELONA,TRUE,63736069,Punts d'ancoratge de bicicletes,Planol BCN >> Transports i serveis relacionats >> Bicis >> Punts d'ancoratge de bicicletes,651,6.5103E+13,432321.312,4580887.93,41.37666618,2.190652369
