Municipi,Municipi forma indexada,Cap de municipi,Cap de municipi indexada,Codi municipi,Codi municipi INE,Comarca,Codi comarca,Abreviatura comarca,Província,Codi província,UTM X,UTM Y,Longitud,Latitud
Alcover,Alcover,Alcover,Alcover,430056,43005,Alt Camp,1,ACA,Tarragona,43,346608.3,4569560.26,1.168858284,41.2629114
Alió,Alió,Alió,Alió,430108,43010,Alt Camp,1,ACA,Tarragona,43,358194.2,4572851.75,1.30634069,41.29466394
Bràfim,Bràfim,Bràfim,Bràfim,430347,43034,Alt Camp,1,ACA,Tarragona,43,361065.59,4569918.14,1.341290393,41.26874906
Cabra del Camp,Cabra del Camp,Cabra del Camp,Cabra del Camp,430363,43036,Alt Camp,1,ACA,Tarragona,43,355954.7487,4584072.446,1.276943289,41.39529428
Figuerola del Camp,Figuerola del Camp,Figuerola del Camp,Figuerola del Camp,430593,43059,Alt Camp,1,ACA,Tarragona,43,354900.34,4581444.17,1.264965381,41.37144108
Mont-ral,Mont-ral,Mont-ral,Mont-ral,430918,43091,Alt Camp,1,ACA,Tarragona,43,340641.473,4572345.67,1.096936669,41.28683328
Montferri,Montferri,Montferri,Montferri,430897,43089,Alt Camp,1,ACA,Tarragona,43,363110.4477,4569536.238,1.365779712,41.26565945
Nulles,Nulles,Nulles,Nulles,430982,43098,Alt Camp,1,ACA,Tarragona,43,357162.5327,4567834.99,1.295200025,41.24931205
Puigpelat,Puigpelat,Puigpelat,Puigpelat,431191,43119,Alt Camp,1,ACA,Tarragona,43,357372.7744,4571226.676,1.296914752,41.27988736
Querol,Querol,Querol,Querol,431205,43120,Alt Camp,1,ACA,Tarragona,43,366050.536,4586948.277,1.397024653,41.42293329
Rodonyà,Rodonyà,Rodonyà,Rodonyà,431325,43132,Alt Camp,1,ACA,Tarragona,43,365927.4,4571057.41,1.399061774,41.2798289
Aiguamúrcia,Aiguamúrcia,Santes Creus,Santes Creus,430017,43001,Alt Camp,1,ACA,Tarragona,43,363069.03,4578511.98,1.363265165,41.34647074
Vallmoll,Vallmoll,Vallmoll,Vallmoll,431606,43160,Alt Camp,1,ACA,Tarragona,43,353278.24,4567149.43,1.249025345,41.24244387
Valls,Valls,Valls,Valls,431613,43161,Alt Camp,1,ACA,Tarragona,43,353265.06,4571784.7,1.247752539,41.28417563
Vila-rodona,Vila-rodona,Vila-rodona,Vila-rodona,431704,43170,Alt Camp,1,ACA,Tarragona,43,362563.43,4574564.01,1.358117024,41.31083706
Vilabella,Vilabella,Vilabella,Vilabella,431652,43165,Alt Camp,1,ACA,Tarragona,43,360068.1881,4567503.521,1.329941491,41.24683568
el Milà,"Milà, el",el Milà,"Milà, el",430831,43083,Alt Camp,1,ACA,Tarragona,43,349738.0919,4567828.403,1.20662969,41.24790686
el Pla de Santa Maria,"Pla de Santa Maria, el",el Pla de Santa Maria,"Pla de Santa Maria, el",431080,43108,Alt Camp,1,ACA,Tarragona,43,356885.36,4580758.72,1.288852863,41.36562491
el Pont d'Armentera,"Pont d'Armentera, el",el Pont d'Armentera,"Pont d'Armentera, el",431135,43113,Alt Camp,1,ACA,Tarragona,43,363108.5798,4582643.154,1.362805361,41.38367447
