Código de parada / Codi de parada,Nombre / Nom,Municipio / Municipi,UTM X,UTM Y,Mobiliario / Mobiliari,Adaptada,Líneas / Línies
000002,Av Icària - Àlaba,Barcelona,"433034,9710","4582706,3560",Marquesina,No Adaptada,59 - N8 - H16 - V27
000003,València - Muntaner,Barcelona,"429594,5550","4582232,9080",Marquesina,Adaptada,63 - N7 - H10
000004,Mallorca - Balmes,Barcelona,"429667,5360","4582506,9960",Marquesina,No Adaptada,H10
000007,Pl Universitat,Barcelona,"430044,7920","4581935,5410",Marquesina,Adaptada,N1 - N12 - N15 - N17 - N2 - H12 - N18 - N28 - 52
000008,Pl de Carles Buïgas,Barcelona,"428925,6260","4580296,3200",Marquesina,No Adaptada,13 - 150
000012,Llinars - Santander,Barcelona,"433772,8520","4587324,0040",Pal,No Adaptada,N8 - V33
000015,Via Favència - Almagro,Barcelona,"430837,5220","4588367,9530",Marquesina,Adaptada,60 - N24
000016,Via Favència - Castor,Barcelona,"430681,0980","4588233,9940",Marquesina,No Adaptada,60 - N24
000017,Les Torres - Mina de la Ciutat,Barcelona,"430803,2620","4588672,7240",Pal,No Adaptada,27
000018,Antonio Machado - E M de Natació,Barcelona,"430708,4510","4588411,9350",Marquesina,No Adaptada,47 - N6
000020,Antonio Machado - Artesania,Barcelona,"430734,9440","4588421,6740",Pal,No Adaptada,27 - D40 - N24
000021,Palau Reial,Barcelona,"426100,2880","4581939,8360",Marquesina,Adaptada,7 - 33 - 67 - 113 - H6 - M14 - X79 - X43 - X30 - 175
000022,Av República Argentina - Vallcarca,Barcelona,"428455,9470","4584777,6480",Marquesina,No Adaptada,22 - 87 - V17 - N24
000024,Ronda Guineueta Vella - Barri Canyelles,Barcelona,"430266,9150","4588419,5110",Marquesina,Adaptada,27 - 47 - N6 - V27
000025,Ronda Guineueta Vella - Escola Deià,Barcelona,"430481,9790","4588474,0650",Marquesina,Adaptada,27 - 47 - N6 - V27
000027,Metro Marina,Barcelona,"432084,9983","4582862,1960",Marquesina,Adaptada,N0 - N15 - V21
000028,Hospital Vall d'Hebron,Barcelona,"428391,0160","4586502,2530",Marquesina,No Adaptada,112 - 119 - 185 - V17 - 135 - N24
