register_id,name,addresses_road_id,addresses_road_name,addresses_start_street_number,addresses_end_street_number,addresses_neighborhood_id,addresses_neighborhood_name,addresses_district_id,addresses_district_name,addresses_zip_code,addresses_town,addresses_main_address,secondary_filters_id,secondary_filters_name,secondary_filters_fullpath,secondary_filters_tree,secondary_filters_asia_id,geo_epgs_25831_x,geo_epgs_25831_y,geo_epgs_4326_lat,geo_epgs_4326_lon
?99400603212,"Parada de taxis * Pg Taulat, 136",701278,Pg Taulat,136,,69,Diagonal Mar i el Front Marítim del Poblenou,10,Sant Martí,8005,BARCELONA,TRUE,63733072,Parades Taxi,Planol BCN >> Transports i serveis relacionats >> Transports adicionals >> Parades Taxi,651,6.5103E+13,433966.8655,4583738.216,41.40247477,2.210018475
?99400603228,"Parada de taxis * C Lope de Vega, 92",180401,C Lope de Vega,92,,68,el Poblenou,10,Sant Martí,8005,BARCELONA,TRUE,63733072,Parades Taxi,Planol BCN >> Transports i serveis relacionats >> Transports adicionals >> Parades Taxi,651,6.5103E+13,433479.5702,4583929.04,41.40415331,2.204168328
?99400602997,"Parada de taxis * C Lope de Vega, 132",180401,C Lope de Vega,132,,68,el Poblenou,10,Sant Martí,8005,BARCELONA,TRUE,63733072,Parades Taxi,Planol BCN >> Transports i serveis relacionats >> Transports adicionals >> Parades Taxi,651,6.5103E+13,433314.1388,4584084.779,41.40554229,2.202172179
?99400602998,"Parada de taxis * Pg Gràcia, 34",148307,Pg Gràcia,34,,7,la Dreta de l'Eixample,2,Eixample,8007,BARCELONA,TRUE,63733072,Parades Taxi,Planol BCN >> Transports i serveis relacionats >> Transports adicionals >> Parades Taxi,651,6.5103E+13,430332.4191,4582487.479,41.39090308,2.166686301
?99400603015,"Parada de taxis * C Lepant, 385",178308,C Lepant,385,,33,el Baix Guinardó,7,Horta-Guinardó,8025,BARCELONA,TRUE,63733072,Parades Taxi,Planol BCN >> Transports i serveis relacionats >> Transports adicionals >> Parades Taxi,651,6.5103E+13,430602.248,4584571.849,41.40969963,2.169674544
?99400603018,"Parada de taxis * C Aribau, 149",23403,C Aribau,149,,8,l'Antiga Esquerra de l'Eixample,2,Eixample,8036,BARCELONA,TRUE,63733072,Parades Taxi,Planol BCN >> Transports i serveis relacionats >> Transports adicionals >> Parades Taxi,651,6.5103E+13,429262.8694,4582689.836,41.39263228,2.153870809
?99400603022,"Parada de taxis * C Nicaragua, 146",227800,C Nicaragua,146,,19,les Corts,4,Les Corts,8029,BARCELONA,TRUE,63733072,Parades Taxi,Planol BCN >> Transports i serveis relacionats >> Transports adicionals >> Parades Taxi,651,6.5103E+13,427802.4927,4582120.949,41.38737878,2.13647206
?99400603024,"Parada de taxis * Pg Gràcia, 126",148307,Pg Gràcia,126,,31,la Vila de Gràcia,6,Gràcia,8008,BARCELONA,TRUE,63733072,Parades Taxi,Planol BCN >> Transports i serveis relacionats >> Transports adicionals >> Parades Taxi,651,6.5103E+13,429637.9926,4583255.007,41.39775549,2.158291748
?99400603272,"Parada de taxis * Pl Catalunya, 14",74404,Pl Catalunya,14,,7,la Dreta de l'Eixample,2,Eixample,8010,BARCELONA,TRUE,63733072,Parades Taxi,Planol BCN >> Transports i serveis relacionats >> Transports adicionals >> Parades Taxi,651,6.5103E+13,430691.8416,4582071.857,41.38719076,2.171032578
?99400603275,"Parada de taxis * Pg Marítim de la Barceloneta, 39",197903,Passeig Marítim de la Barceloneta - Oriol Bohigas,39,,3,la Barceloneta,1,Ciutat Vella,8003,Barcelona,TRUE,63733072,Parades Taxi,Planol BCN >> Transports i serveis relacionats >> Transports adicionals >> Parades Taxi,651,6.5103E+13,432842.3648,4581859.125,41.38545715,2.196775251
?99400603233,"Parada de taxis * C Manila, 42",192003,C Manila,42,,21,Pedralbes,4,Les Corts,8034,BARCELONA,TRUE,63733072,Parades Taxi,Planol BCN >> Transports i serveis relacionats >> Transports adicionals >> Parades Taxi,651,6.5103E+13,426921.0762,4582405.795,41.38986467,2.125896567
?99400603234,"Parada de taxis * Av Madrid, 214",187207,Av Madrid,214,,18,Sants,3,Sants-Montjuïc,8014,BARCELONA,TRUE,63733072,Parades Taxi,Planol BCN >> Transports i serveis relacionats >> Transports adicionals >> Parades Taxi,651,6.5103E+13,427667.3262,4581464.89,41.38145777,2.134933881
?99400603238,"Parada de taxis * C Sancho de Ávila, 22",311703,C Sancho de Ávila,22,,66,el Parc i la Llacuna del Poblenou,10,Sant Martí,8018,BARCELONA,TRUE,63733072,Parades Taxi,Planol BCN >> Transports i serveis relacionats >> Transports adicionals >> Parades Taxi,651,6.5103E+13,432160.0671,4583203.863,41.39751158,2.188464935
?99400603247,"Parada de taxis * Av Joan XXIII, 9999",244209,Av Joan XXIII,9999,,20,la Maternitat i Sant Ramon,4,Les Corts,8028,BARCELONA,TRUE,63733072,Parades Taxi,Planol BCN >> Transports i serveis relacionats >> Transports adicionals >> Parades Taxi,651,6.5103E+13,426588.7376,4581677.375,41.38327384,2.122010149
?99400603254,"Parada de taxis * Pg Potosí, 2",701357,Pg Potosí,2,,59,el Bon Pastor,9,Sant Andreu,8030,BARCELONA,TRUE,63733072,Parades Taxi,Planol BCN >> Transports i serveis relacionats >> Transports adicionals >> Parades Taxi,651,6.5103E+13,432991.6851,4588197.306,41.44255573,2.197858978
?99400603081,"Parada de taxis * C Mallorca, 422",191204,C Mallorca,422,,6,la Sagrada Família,2,Eixample,8013,BARCELONA,TRUE,63733072,Parades Taxi,Planol BCN >> Transports i serveis relacionats >> Transports adicionals >> Parades Taxi,651,6.5103E+13,431108.1852,4583891.825,41.40361841,2.175804751
