LONGITUD,LATITUD,EQUIPAMENT
2.158917,41.382515,METRO (L1) - URGELL-
2.187563,41.402305,METRO (L1) - GLÓRIES-
2.184813,41.381839,METRO (L4) - BARCELONETA-
2.179488,41.400552,METRO (L2) - MONUMENTAL-
2.20075,41.419092,METRO (L2) - SANT MARTÀ­-
2.216931,41.441388,METRO (L10N) - LLEFIÀ-
2.138256,41.361128,METRO (L10S) - FONERIA-
2.148498,41.435673,METRO (L3) - MUNDET-
2.173056,41.381473,METRO (L3) - LICEU-
2.169144,41.374921,METRO (L3) - PARALÂ·LEL-
2.21846,41.451611,METRO (L1) - FONDO-
2.165373,41.391631,METRO (L3) - PASSEIG DE GRÀCIA-
2.195529,41.41519,METRO (L2) - BAC DE RODA-
2.199588,41.449964,METRO (L1) - BARÓ DE VIVER-
2.192038,41.395136,METRO (L4) - BOGATELL-
2.178557,41.384154,METRO (L4) - JAUME I-
2.138181,41.375381,METRO (L1) - PLAÇA DE SANTS-
2.145065,41.430648,METRO (L3) - MONTBAU-
2.163267,41.379861,METRO (L2) - SANT ANTONI-
2.178576,41.443758,METRO (L4) - VIA JYLIA-
2.210257,41.419929,METRO (L4) - BESÓS-
2.070455,41.357319,METRO (L5) - CORNELLÀ CENTRE-
2.119222,41.375772,METRO (L5) - COLLBLANC-
2.145645,41.384495,METRO (L5) - ENTENÇA-
2.167645,41.430493,METRO (L5) - VILAPICINA-
2.073141,41.303852,METRO (L9S) - AEROPORT T2-
2.20532,41.436231,METRO (L9NL10N) - BON PASTOR-
2.16431,41.385843,METRO (L1) - UNIVERSITAT-
2.128644,41.368844,METRO (L1) - SANTA EULÀLIA-
2.168086,41.400393,METRO (L4) - VERDAGUER-
2.144991,41.343005,METRO (L10S) - ZONA FRANCA-
2.125817,41.387844,METRO (L3) - MARIA CRISTINA-
2.184122,41.449528,METRO (L3) - TRINITAT NOVA-
2.102659,41.358582,METRO (L1) - AV. CARRILET-
2.174015,41.41599,METRO (L4) - GUINARDÓ | HOSPITAL DE SANT PAU-
2.209909,41.430032,METRO (L2) - VERNEDA-
2.099472,41.371307,METRO (L5) - CAN VIDALET-
2.166408,41.412405,METRO (L4) - ALFONS X-
2.174675,41.460836,METRO (L11) - CIUTAT MERIDIANA-
2.145362,41.378521,METRO (L3) - TARRAGONA-
2.115783,41.368251,METRO (L9SL10S) - TORRASSA-
2.158856,41.394463,METRO (L5) - DIAGONAL-
2.167115,41.39898,METRO (L5) - VERDAGUER-
2.181523,41.415088,METRO (L5) - CAMP DE L'ARPA-
2.16,41.429721,METRO (L5) - HORTA-
2.142382,41.425021,METRO (L5) - VALL D'HEBRON-
2.175585,41.394915,METRO (L2) - TETUAN-
2.233466,41.440265,METRO (L2) - GORG-
2.207994,41.451095,METRO (L1) - SANTA COLOMA-
2.17569,41.376567,METRO (L3) - DRASSANES-
2.153048,41.402037,METRO (L3) - FONTANA-
2.224762,41.442845,METRO (L10N) - LA SALUT-
2.141831,41.35619,METRO (L10S) - FOC-
2.141018,41.381626,METRO (L3) - SANTS ESTACIÓ-
2.110944,41.351005,METRO (L1) - BELLVITGE-
2.193017,41.386715,METRO (L4) - CIUTADELLA | VILA OLÀ­MPICA-
2.217798,41.433876,METRO (L2) - ARTIGUES | SANT ADRIÀ-
2.137098,41.330188,METRO (L10S) - ECOPARC-
2.187001,41.422397,METRO (L1) - LA SAGRERA-
2.173369,41.437013,METRO (L4) - LLUCMAJOR-
2.150433,41.405766,METRO (L3) - LESSEPS-
2.151107,41.388636,METRO (L5) - HOSPITAL CLÀ­NIC-
2.155125,41.424478,METRO (L5) - EL CARMEL-
2.073499,41.311254,METRO (L9S) - MAS BLAU-
2.1031,41.329148,METRO (L9S) - LES MORERES-
2.198594,41.456694,METRO (L9N) - CAN ZAM-
2.212202,41.454825,METRO (L9N) - ESGLÈSIA MAJOR-
2.176042,41.410781,METRO (L5) - SANT PAU | DOS DE MAIG-
2.186608,41.421324,METRO (L5) - LA SAGRERA-
2.170851,41.394948,METRO (L4) - GIRONA-
2.203397,41.403744,METRO (L4) - POBLENOU-
2.143318,41.375282,METRO (L1) - HOSTAFRANCS-
2.160272,41.375024,METRO (L3) - POBLE SEC-
2.140998,41.418307,METRO (L3) - PENITENTS-
2.176124,41.447698,METRO (L3) - ROQUETES-
